proteinA,proteinB
id_33,id_258
id_1714,id_6161
id_1517,id_1613
id_5376,id_5874
id_652,id_5086
id_5621,id_5874
id_379,id_652
id_427,id_5159
id_210,id_689
id_328,id_549
id_1713,id_6317
id_2235,id_2239
id_453,id_3720
id_6203,id_6420
id_3362,id_4623
id_4656,id_5121
id_3335,id_5070
id_3335,id_4747
id_4905,id_5542
id_1746,id_3626
id_4778,id_5864
id_1848,id_3114
id_2235,id_6557
id_1903,id_3638
id_3795,id_3808
id_2084,id_2100
id_2121,id_2235
id_58,id_1126
id_3426,id_4380
id_3149,id_4813
id_2334,id_2642
id_2282,id_2532
id_2280,id_2341
id_3082,id_4572
id_310,id_1014
id_2235,id_2636
id_3078,id_4806
id_2113,id_2683
id_2113,id_2750
id_1648,id_4572
id_1982,id_2304
id_1958,id_6476
id_1769,id_2948
id_2247,id_5107
id_1835,id_4656
id_5130,id_6317
id_1563,id_2883
id_1888,id_5005
id_1520,id_2787
id_1891,id_5179
id_1259,id_1479
id_1126,id_1500
id_994,id_1261
id_453,id_3379
id_1954,id_4656
id_184,id_6430
id_453,id_2092
id_5874,id_5934
id_297,id_1891
id_237,id_4572
id_5236,id_6112
id_579,id_3371
id_389,id_2235
id_3197,id_6646
id_769,id_1303
id_421,id_3197
id_3364,id_6283
id_3434,id_6314
id_453,id_4686
id_3411,id_5245
id_116,id_1261
id_267,id_3443
id_1527,id_6142
id_475,id_802
id_115,id_3426
id_267,id_2079
id_3608,id_4647
id_406,id_1607
id_4687,id_4939
id_1507,id_1592
id_4721,id_4843
id_184,id_407
id_5012,id_5441
id_632,id_969
id_549,id_4560
id_4586,id_4939
id_184,id_512
id_453,id_4972
id_5005,id_5687
id_383,id_569
id_5247,id_5850
id_5084,id_5698
id_4972,id_6203
id_5698,id_5968
id_69,id_4545
id_1829,id_1977
id_5850,id_5968
id_265,id_5208
id_69,id_5201
id_380,id_2021
id_3561,id_4056
id_4146,id_4333
id_501,id_4535
id_4075,id_4296
id_4698,id_6420
id_2345,id_3000
id_2005,id_6478
id_1977,id_2418
id_1977,id_5228
id_184,id_6369
id_184,id_1030
id_4792,id_5962
id_205,id_3608
id_1958,id_5135
id_1958,id_6415
id_383,id_5225
id_184,id_6362
id_1872,id_4651
id_31,id_3274
id_940,id_1000
id_236,id_838
id_1862,id_3734
id_480,id_1069
id_475,id_828
id_475,id_1265
id_4867,id_4974
id_2128,id_6513
id_368,id_3361
id_4505,id_5808
id_4586,id_5247
id_1948,id_3734
id_4867,id_5213
id_802,id_1261
id_4549,id_4974
id_1977,id_4693
id_716,id_6337
id_1544,id_4974
id_5213,id_6612
id_4974,id_5207
id_4842,id_4849
id_5207,id_5213
id_2056,id_2201
id_3476,id_4520
id_230,id_1592
id_616,id_1690
id_3177,id_3238
id_1948,id_5160
id_3310,id_4586
id_435,id_4687
id_1900,id_5101
id_1898,id_4849
id_1895,id_4974
id_1507,id_2883
id_310,id_1607
id_1514,id_2082
id_3348,id_5213
id_549,id_6184
id_2199,id_3062
id_151,id_4974
id_5232,id_5473
id_1531,id_2315
id_230,id_881
id_1538,id_2876
id_230,id_828
id_230,id_1265
id_3311,id_4384
id_3311,id_3936
id_3055,id_3311
id_3348,id_4974
id_3516,id_4974
id_1841,id_4974
id_230,id_2201
id_1607,id_2271
id_61,id_1982
id_3238,id_6054
id_5084,id_6306
id_4849,id_5868
id_394,id_3142
id_3125,id_3825
id_313,id_5101
id_230,id_5247
id_76,id_4988
id_3131,id_6539
id_74,id_5008
id_5698,id_5872
id_1901,id_2315
id_3361,id_4562
id_716,id_5038
id_716,id_4520
id_4974,id_6612
id_4974,id_6301
id_3063,id_6280
id_1506,id_3603
id_2086,id_4628
id_2187,id_4586
id_4573,id_5329
id_2201,id_4586
id_4586,id_5968
id_4527,id_5634
id_184,id_6236
id_1709,id_4535
id_3411,id_3524
id_1552,id_4956
id_310,id_4520
id_5005,id_5144
id_1568,id_1693
id_114,id_5107
id_3076,id_6095
id_149,id_4537
id_167,id_4933
id_453,id_716
id_4561,id_4850
id_149,id_5236
id_4643,id_5084
id_5539,id_5968
id_3310,id_4643
id_1977,id_4643
id_5233,id_5542
id_3581,id_4324
id_4562,id_4573
id_2128,id_3525
id_3707,id_6675
id_4643,id_5247
id_1786,id_6383
id_2229,id_2924
id_4643,id_5968
id_310,id_5213
id_707,id_4721
id_313,id_6337
id_463,id_1234
id_463,id_926
id_5008,id_5326
id_2201,id_4643
id_3056,id_5174
id_2243,id_4573
id_391,id_1239
id_4860,id_5941
id_392,id_616
id_6161,id_6383
id_1958,id_2016
id_549,id_4537
id_313,id_942
id_6052,id_6254
id_3390,id_4974
id_1720,id_3361
id_4840,id_5941
id_150,id_3238
id_1761,id_3114
id_646,id_6228
id_942,id_1121
id_1958,id_4521
id_4670,id_5144
id_3390,id_5213
id_4561,id_4573
id_230,id_3229
id_594,id_2194
id_4043,id_4132
id_256,id_797
id_4043,id_4371
id_4596,id_6383
id_4035,id_4373
id_3921,id_4364
id_76,id_942
id_236,id_3195
id_3176,id_6344
id_3551,id_4043
id_4695,id_6420
id_3579,id_6558
id_5794,id_5941
id_5726,id_5800
id_308,id_1480
id_380,id_964
id_286,id_374
id_1878,id_2235
id_3295,id_3335
id_2011,id_2083
id_2189,id_2575
id_576,id_696
id_1545,id_2201
id_3476,id_6052
id_1545,id_1977
id_1850,id_1958
id_466,id_4891
id_4788,id_6461
id_4788,id_6165
id_6008,id_6284
id_496,id_1874
id_1786,id_2156
id_6176,id_6628
id_286,id_4881
id_3177,id_3396
id_4643,id_5539
id_3177,id_3353
id_2247,id_4594
id_663,id_6306
id_1545,id_5247
id_549,id_1459
id_1538,id_2168
id_1545,id_3310
id_3078,id_5108
id_484,id_1103
id_386,id_5135
id_3255,id_4419
id_549,id_3557
id_1527,id_4955
id_286,id_5067
id_5135,id_6411
id_1545,id_2852
id_1545,id_2970
id_1527,id_6254
id_433,id_5081
id_2481,id_2625
id_230,id_1328
id_2625,id_2852
id_2220,id_3108
id_433,id_1374
id_425,id_1301
id_2730,id_2948
id_3476,id_4144
id_486,id_4939
id_716,id_1713
id_1932,id_6034
id_435,id_1545
id_174,id_1160
id_4939,id_6252
id_5948,id_5971
