proteinA,proteinB
id_6141,id_6373
id_6111,id_6582
id_436,id_1240
id_439,id_1423
id_439,id_555
id_2131,id_4717
id_2143,id_4638
id_2143,id_4928
id_6259,id_6275
id_2167,id_4833
id_2170,id_4564
id_2189,id_5026
id_2189,id_2235
id_2189,id_5012
id_447,id_942
id_447,id_1107
id_464,id_926
id_6077,id_6612
id_6297,id_6527
id_2110,id_5113
id_2110,id_4717
id_2110,id_2131
id_6266,id_6485
id_12,id_1379
id_12,id_258
id_12,id_18
id_12,id_318
id_12,id_798
id_2056,id_2113
id_2056,id_6579
id_2056,id_6025
id_2056,id_2063
id_2056,id_6023
id_496,id_1486
id_496,id_1211
id_496,id_1233
id_511,id_1401
id_6054,id_6188
id_364,id_1486
id_364,id_496
id_364,id_1233
id_555,id_1243
id_555,id_1103
id_558,id_1173
id_558,id_1322
id_583,id_1188
id_620,id_1244
id_6034,id_6102
id_6025,id_6579
id_18,id_798
id_6023,id_6025
id_6023,id_6579
id_6018,id_6267
id_720,id_910
id_720,id_1361
id_777,id_970
id_5248,id_6673
id_5248,id_6582
id_5248,id_6478
id_798,id_1379
id_802,id_896
id_802,id_1488
id_5248,id_6112
id_812,id_1114
id_6343,id_6671
id_6582,id_6673
id_827,id_839
id_2033,id_6054
id_838,id_1303
id_874,id_1143
id_360,id_759
id_881,id_1475
id_896,id_949
id_896,id_1488
id_904,id_1369
id_910,id_1361
id_933,id_1414
id_942,id_1498
id_945,id_1288
id_949,id_1488
id_6423,id_6560
id_1922,id_5168
id_6397,id_6667
id_6389,id_6423
id_1007,id_1231
id_1061,id_1138
id_1211,id_1233
id_1211,id_1486
id_1225,id_1451
id_1233,id_1486
id_1259,id_1288
id_1261,id_1420
id_1311,id_1316
id_5154,id_6215
id_1410,id_1492
id_1502,id_2574
id_6478,id_6673
id_6478,id_6582
id_25,id_27
id_1917,id_4830
id_1511,id_2531
id_1517,id_2238
id_1522,id_2113
id_1522,id_2056
id_1522,id_1764
id_1529,id_2993
id_1543,id_2664
id_1555,id_1950
id_1570,id_2965
id_1570,id_2489
id_5130,id_5245
id_1573,id_2238
id_1573,id_2334
id_5113,id_6135
id_1861,id_2110
id_1872,id_4732
id_1879,id_4582
id_5113,id_6574
id_5108,id_6134
id_1630,id_2593
id_1649,id_2352
id_1649,id_2143
id_1650,id_2476
id_1673,id_2779
id_1677,id_2593
id_1679,id_2489
id_1680,id_2803
id_5082,id_6565
id_1687,id_2327
id_1848,id_4516
id_1861,id_4717
id_1693,id_1940
id_5062,id_6060
id_1708,id_2411
id_1721,id_2740
id_1749,id_2360
id_1753,id_2110
id_1753,id_2537
id_1753,id_1861
id_1753,id_2131
id_5030,id_5082
id_5030,id_6088
id_1764,id_2804
id_1764,id_2056
id_1764,id_2170
id_1764,id_2113
id_1765,id_2822
id_1765,id_2251
id_1765,id_2844
id_5026,id_6436
id_1771,id_2238
id_3002,id_4867
id_3002,id_3390
id_1773,id_2472
id_5021,id_6218
id_318,id_798
id_318,id_1379
id_5012,id_6220
id_1861,id_2537
id_2170,id_6579
id_4992,id_6606
id_4992,id_5202
id_3007,id_4564
id_3007,id_3123
id_1782,id_4642
id_4976,id_6196
id_1922,id_2658
id_1951,id_6075
id_1951,id_2965
id_1950,id_6527
id_2006,id_2885
id_2006,id_2894
id_4949,id_6341
id_4949,id_5214
id_4941,id_6325
id_1753,id_5113
id_1753,id_4717
id_1759,id_4863
id_1760,id_4892
id_4925,id_5108
id_2056,id_2804
id_4925,id_6134
id_2063,id_2804
id_2247,id_4891
id_2110,id_2537
id_2111,id_2261
id_2113,id_2804
id_2131,id_2537
id_2131,id_2665
id_2143,id_2352
id_2170,id_2804
id_2189,id_6220
id_4902,id_6355
id_1922,id_6558
id_2228,id_2372
id_2228,id_2676
id_2234,id_2883
id_2238,id_2334
id_1680,id_4826
id_1680,id_4592
id_3056,id_4912
id_1708,id_4826
id_1708,id_4592
id_2251,id_2844
id_2296,id_2519
id_2311,id_2834
id_2311,id_2316
id_2332,id_2575
id_4881,id_5078
id_2396,id_2596
id_4867,id_6301
id_3067,id_3353
id_1650,id_4720
id_3062,id_3425
id_1649,id_4928
id_1649,id_4638
id_1670,id_4521
id_4868,id_4950
id_2470,id_2870
id_2489,id_2965
id_2493,id_2561
id_2493,id_2605
id_2493,id_2856
id_2502,id_2822
id_2537,id_2665
id_2561,id_2605
id_2605,id_2856
id_4848,id_6493
id_4840,id_5134
id_2698,id_2851
id_4832,id_5155
id_4826,id_6102
id_2863,id_2884
id_4820,id_6036
id_3007,id_3838
id_4819,id_6608
id_1894,id_6266
id_1544,id_4549
id_1569,id_4701
id_3041,id_4126
id_4803,id_6504
id_4790,id_5056
id_3106,id_4428
id_3106,id_4251
id_3107,id_3581
id_3114,id_3366
id_3114,id_4287
id_3123,id_3838
id_3127,id_3327
id_3153,id_4296
id_3159,id_4329
id_3177,id_4492
id_1524,id_5108
id_1524,id_4925
id_4522,id_5111
id_1538,id_5154
id_3191,id_3559
id_3191,id_3521
id_3195,id_3292
id_3195,id_3580
id_3195,id_3392
id_3196,id_4105
id_3203,id_4205
id_3233,id_4116
id_3236,id_3730
id_1511,id_5002
id_3107,id_4508
id_4721,id_6194
id_4717,id_6135
id_4717,id_5113
id_3286,id_3292
id_3286,id_3392
id_3286,id_3580
id_3284,id_3832
id_3289,id_3837
id_3292,id_3392
id_3292,id_3580
id_3331,id_3439
id_3480,id_3562
id_3521,id_3559
id_3558,id_3743
id_3581,id_3695
id_3638,id_3698
id_3683,id_3726
id_1502,id_5007
id_3348,id_4343
id_3348,id_4232
id_3348,id_3390
id_3351,id_4401
id_3351,id_4205
id_3366,id_4287
id_3380,id_4463
id_3123,id_4564
id_3392,id_3580
id_4534,id_5021
id_45,id_936
id_45,id_994
id_4689,id_6645
id_3385,id_4108
id_4670,id_6565
id_4670,id_5030
id_4670,id_5082
id_4670,id_6088
id_1861,id_6574
id_1861,id_6135
id_3558,id_4329
id_3558,id_4004
id_3592,id_4447
id_3603,id_4044
id_3603,id_3902
id_3144,id_4912
id_3683,id_4125
id_3712,id_3983
id_3726,id_4125
id_3738,id_4314
id_3743,id_4329
id_3743,id_4004
id_3745,id_4404
id_3745,id_4217
id_4638,id_4928
id_3762,id_4218
id_3842,id_4071
id_3902,id_4044
id_3946,id_4421
id_4004,id_4329
id_4051,id_4452
id_4592,id_4826
id_4592,id_6034
id_4592,id_6506
id_4592,id_6102
id_4187,id_4399
id_4205,id_4401
id_4217,id_4404
id_4232,id_4343
id_4251,id_4428
id_4251,id_4402
id_51,id_777
id_4521,id_5603
id_266,id_1195
id_4561,id_5722
id_4561,id_5878
id_4573,id_6369
id_4582,id_5286
id_4566,id_6343
id_4566,id_6671
id_2223,id_3558
id_2223,id_3743
id_3183,id_4514
id_4598,id_5356
id_4560,id_6174
id_256,id_1411
id_258,id_798
id_258,id_318
id_258,id_1379
id_4638,id_5857
id_2215,id_3743
id_2215,id_3558
id_2217,id_3709
id_56,id_778
id_2235,id_6436
id_4648,id_5579
id_4536,id_6675
id_4534,id_6218
